input_id	dealiased_id	standard_id	short_id
doi:10.1371/journal.pcbi.1000424	doi:10.1371/journal.pcbi.1000424	doi:10.1371/journal.pcbi.1000424	3Gx1ESE4
doi:10.1371/journal.pcbi.1003506	doi:10.1371/journal.pcbi.1003506	doi:10.1371/journal.pcbi.1003506	1DGaKvFvt
doi:10.1371/journal.pcbi.1004947	doi:10.1371/journal.pcbi.1004947	doi:10.1371/journal.pcbi.1004947	kEX5dgzK
doi	doi	doi	FSDqKxd0
doi:10.1371/journal.pcbi.1004526	doi:10.1371/journal.pcbi.1004526	doi:10.1371/journal.pcbi.1004526	17yW9gdyE
doi:10.1371/journal.pcbi.1008119	doi:10.1371/journal.pcbi.1008119	doi:10.1371/journal.pcbi.1008119	H5HCY7no
url:https://www.nature.com/articles/d41586-019-01184-9	url:https://www.nature.com/articles/d41586-019-01184-9	url:https://www.nature.com/articles/d41586-019-01184-9	1HO43qeHc
doi:10.1186/1471-2105-7-273	doi:10.1186/1471-2105-7-273	doi:10.1186/1471-2105-7-273	SXGZLnMK
url:https://zapier.com/learn/project-management/project-management-systems	url:https://zapier.com/learn/project-management/project-management-systems	url:https://zapier.com/learn/project-management/project-management-systems	7VsEZgYC
url:https://www.katypeplin.com/blog/2017/10/25/be-an-agile-academic	url:https://www.katypeplin.com/blog/2017/10/25/be-an-agile-academic	url:https://www.katypeplin.com/blog/2017/10/25/be-an-agile-academic	I79jSCA1
url:https://www.nature.com/articles/d41586-020-02462-7	url:https://www.nature.com/articles/d41586-020-02462-7	url:https://www.nature.com/articles/d41586-020-02462-7	mjvWHLDt
doi:10.1038/sdata.2017.114	doi:10.1038/sdata.2017.114	doi:10.1038/sdata.2017.114	1FJhfqfiX
doi:10.1371/journal.pcbi.1003285	doi:10.1371/journal.pcbi.1003285	doi:10.1371/journal.pcbi.1003285	Pf3steOn
doi:10.1093/gigascience/giy077	doi:10.1093/gigascience/giy077	doi:10.1093/gigascience/giy077	YIplQX3N
